available,query
True," Subject: Room Reservation Request at Premier Boutique Stay, New York (September 2025 - June 2026)

Dear Hotel Reservations,

I am reaching out to book a room for an extended stay at your Premier Boutique Stay hotel in New York City. I would like to request a room from September 22nd, 2025 to June 5th, 2026. "
False," Hello, I'd like to make a reservation for a room at The Heritage Corner Hotel, Delhi, for the period between January 29, 2026, and June 25, 2026. "
True," I need some suggestions for hotels available in Moscow from June 28, 2026 to June 30, 2026"
True," Hi there, could you please provide me with a list of available hotels in Karachi for the upcoming week?"
False," Hi there! I'm interested in booking a room at the Regal Charm Boutique Hotel for a stay between August 5th, 2025 and September 21st, 2025. "
False," Subject: Room Reservation Inquiry at The Exquisite Retreat, Los Angeles - October 2025 to June 2026
Dear Hotel Reservations,
I hope this message finds you well. I am writing to inquire about availability and rates for a room booking at The Exquisite Retreat hotel in Los Angeles from October 27, 2025, to June 6, 2026. "
True," Dear Hotel Reservations,

I would like to book a room at Urban Luxe Suites in Cairo for the period of May 3rd, 2026 to June 11th, 2026. "
False," Hey there! I'd like to make a reservation at the Marriott Hotel for a stay from December 30, 2025, to April 20, 2026."
True," Hello! I'm looking for hotels in Tokyo. Could you please provide me with some options? Also, if possible, let me know about the availability and average rates during the period from July 1st to July 5th. Thank you!"
True," Hey there! Could you please tell me about the hotels available in Sao Paulo from December 4, 2025 onwards?"
True," Subject: Room Booking Request for The Velvet Key Hotel, Kolkata (December 2025 - February 2026)

Hello there,

I'd like to make a room reservation at The Velvet Key hotel in Kolkata. I am interested in staying from December 13, 2025, to February 18, 2026. "
True, Hello! I'm looking for hotels in Mumbai that are currently available for booking. Could you please provide me with some options? Thank you.
False," Hi, I'm looking to book a hotel in Cape Town. Could you please provide me with some options and their current availability?"
True," Hi, I'm looking for hotels in Mexico City. Could you please provide me with some options for my stay?"
False," Hello, I'd like to make a reservation for a hotel room in Mexico City for the dates of January 15, 2026, to April 27, 2026. "
True," Can you please provide me with a list of hotels available in Delhi from March 27, 2026, to July 14, 2026? Thanks!"
True," Are there any hotels available in Shanghai with check-in on April 6, 2026? If so, could you please provide a list of the options along with their prices and amenities?"
False," Subject: Room Reservation at Havencrest Inn - Dates: January 16, 2026 - March 9, 2026
Dear Havencrest Inn Reservations Team,
I hope this message finds you well. I'm interested in booking a room for an extended stay at your hotel from January 16, 2026 to March 9, 2026."
True," Hey there! I'm looking for hotels in Beijing, China, from January 20, 2026, to April 12, 2026. Could you please provide me with some options and their rates?"
False," Subject: Room Booking Request - August 2025 to March 2026 in Los Angeles
Dear Hotel Reservations,
I hope this message finds you well. I'm interested in booking a room at your hotel in Los Angeles for a extended stay from August 1, 2025 to March 30, 2026. "
True," Hello, I'd like to make a reservation for a stay at Hotel Excellence Artistry in Cairo from November 23, 2025, to July 29, 2026. "
True," Can you please provide me with a list of hotels available in Kolkata, India, between January 31, 2026, and April 7, 2026? Also, kindly include the room rates for each option."
True," Hey there, could you please provide me with a list of hotels available in Seoul from August 7, 2025, to July 23, 2026? I'm looking forward to seeing the options."
True," Hey there! I'd like to make a reservation at the Four Seasons Hotel in Jakarta for a stay from May 3rd to May 29th, 2026."
True,"Give me options available in Seoul, South Korea from May 7, 2026, to June 22, 2026"
True, Hey there! I'm looking to book a hotel stay in New York. Could you please provide me with some options of available hotels in the area?
True," Could you please provide me with a list of hotels available in Moscow from November 12, 2025 to December 15, 2025?"
True," Can you provide me with a list of hotels available in Kolkata between November 18, 2025 and December 24, 2025?"
True," Hi there! I'd like to make a reservation at the Four Seasons Hotel in Jakarta for a stay from March 30, 2026, to July 2, 2026."
True," Could you please provide me with the list of hotels available for booking in Karachi from June 11, 2026, to June 24, 2026?"
True, Hey there! I'm looking to book a hotel stay in Delhi. Could you please provide some options and their rates for the upcoming weekend?
False," Hey there, I'm looking for hotel accommodations in Los Angeles from November 22, 2025, to July 4, 2026. Can you provide me with some options for a comfortable and convenient stay during this period?"
True," Hi there! I'm looking to book a hotel stay in Bangkok from October 1, 2025, to November 13, 2025. Can you provide me with some options for hotels available during this period?"
